MOF Name,PLD,LCD,Density (g/cc),VSA (m2/cc),GSA (m2/g),VF,PV (cc/g),K0_CH4,K0_CO2,K0_H2S,K0_H2O,DC_CH4,DC_CO2,DC_H2S,P_CH4,P_CO2,P_H2S,Qst_CH4,Qst_CO2,Qst_H2S,Qst_H2O
ABAYEI_stripped.cif,3.80658,4.81666,2.59228,443.613,171.129,0.47916,0.184841,1.26E-06,6.96E-05,0.000296459,0.0616206,4.30E-05,4.11E-05,2.53E-05,41765.87203,2213625.766,5802530.472,-15.37351004,-33.01586713,-35.12381921,-58.60644811
ABAZEI_stripped.cif,7.42953,8.13254,0.753488,1445.27,1918.1,0.62354,0.827538,1.68E-05,0.000106614,0.000425523,0.000179059,0.000150007,6.51E-05,3.37E-05,566311.3523,1561926.749,3220672.227,-18.55426515,-28.16941635,-31.9386163,-33.32335217
ABEMIF_stripped.cif,6.80253,11.25251,1.15199,1193.02,1035.62,0.64304,0.5582,0.000014128,3.65E-05,9.42E-05,1.90E-06,0.000742912,0.000264811,0.000256127,3609291.14,3321080.512,8296116.5,-17.33993856,-21.22254512,-23.29901377,-11.42468549
ABEXEM_stripped.cif,4.13235,4.82182,1.76082,660.061,374.86,0.48976,0.278143,5.46E-06,0.00124979,0.000742061,544536,0.000217781,1.62E-05,7.75E-05,624673.0526,10650787.97,30234434.55,-18.92007978,-45.02150079,-36.721178,-103.1752435
ABEXEN_stripped.cif,13.71867,18.8079,0.723204,1591.23,2200.25,0.73986,1.02303,1.26E-05,3.21E-05,8.78E-05,2.75E-06,0.000514159,0.000155244,0.000125844,1397591.437,1074550.753,2386202.346,-16.97382966,-21.18343465,-23.57456307,-11.73404978
ABEXIQ_stripped.cif,4.07988,4.80036,1.7876,605.013,338.45,0.48434,0.270944,5.37E-06,0.0453272,0.00322502,4.75E+12,0.000211295,6.22E-06,4.02E-05,605288.9392,150385087.6,69201804.89,-19.09198355,-56.68826776,-42.23906258,-145.9090397
ABEXOW_stripped.cif,4.04136,4.77169,1.81243,582.737,321.522,0.47998,0.264826,5.45E-06,0.018944,0.00242818,1.59E+12,0.000232171,4.10E-06,4.87E-05,684079.1343,42010078.49,63967598.3,-19.26808809,-53.77109701,-41.24972228,-142.7328952
ABEXUC_stripped.cif,4.00936,4.74433,1.84813,545.161,294.98,0.47022,0.25443,5.45E-06,0.0785289,0.00336752,3.76E+11,0.000217329,4.35E-06,2.88E-05,653785.8319,188367829.9,53526924.17,-19.47556964,-56.40355958,-42.66980787,-139.0538532
ABEYAJ_stripped.cif,3.9636,4.73009,1.90641,528.163,277.047,0.47562,0.249485,5.26E-06,0.00194325,0.001221,252347000,0.000195277,1.93E-05,3.47E-05,584413.6927,21397063.15,24124610.84,-19.64283406,-46.71507818,-39.22110304,-121.7596418
ABEYEN_stripped.cif,3.93514,4.7052,1.9293,493.973,256.038,0.47284,0.245084,5.28E-06,0.00187923,0.00137002,297990000,0.000113274,1.45E-05,3.05E-05,344500.4601,15698048.93,24027059.29,-19.80525223,-47.45896123,-39.85568203,-122.290767
