MOF Name,PLD (log10),LCD (log10),Density (g/cc),VSA (m2/cc),VF ,DC_CH4 (log10),DC_CO2 (log10),DC_H2S (log10),Qst_CH4,Qst_CO2,Qst_H2S,Qst_H2O
ABAYEI_stripped.cif,0.580534961,0.682745991,2.59228,443.613,0.47916,-4.37E+00,-4.39E+00,-4.60E+00,-15.37351004,-33.01586713,-35.12381921,-58.60644811
ABAZEI_stripped.cif,0.870961341,0.910226208,0.753488,1445.27,0.62354,-3.82E+00,-4.19E+00,-4.47E+00,-18.55426515,-28.16941635,-31.9386163,-33.32335217
ABEMIF_stripped.cif,0.832670466,1.051249408,1.15199,1193.02,0.64304,-3.13E+00,-3.58E+00,-3.59E+00,-17.33993856,-21.22254512,-23.29901377,-11.42468549
ABEXEM_stripped.cif,0.616197098,0.683210994,1.76082,660.061,0.48976,-3.66E+00,-4.79E+00,-4.11E+00,-18.92007978,-45.02150079,-36.721178,-103.1752435
ABEXEN_stripped.cif,1.137312009,1.274340307,0.723204,1591.23,0.73986,-3.29E+00,-3.81E+00,-3.90E+00,-16.97382966,-21.18343465,-23.57456307,-11.73404978
ABEXIQ_stripped.cif,0.61064739,0.681273808,1.7876,605.013,0.48434,-3.68E+00,-5.21E+00,-4.40E+00,-19.09198355,-56.68826776,-42.23906258,-145.9090397
ABEXOW_stripped.cif,0.606527539,0.678672221,1.81243,582.737,0.47998,-3.63E+00,-5.39E+00,-4.31E+00,-19.26808809,-53.77109701,-41.24972228,-142.7328952
ABEXUC_stripped.cif,0.603075053,0.67617489,1.84813,545.161,0.47022,-3.66E+00,-5.36E+00,-4.54E+00,-19.47556964,-56.40355958,-42.66980787,-139.0538532
ABEYAJ_stripped.cif,0.59808982,0.674869404,1.90641,528.163,0.47562,-3.71E+00,-4.71E+00,-4.46E+00,-19.64283406,-46.71507818,-39.22110304,-121.7596418
ABEYEN_stripped.cif,0.594960188,0.672578088,1.9293,493.973,0.47284,-3.95E+00,-4.84E+00,-4.52E+00,-19.80525223,-47.45896123,-39.85568203,-122.290767
ABEYIR_stripped.cif,0.593515341,0.671695718,1.96962,462.266,0.46872,-3.93E+00,-4.23E+00,-4.43E+00,-19.93265672,-37.17270107,-36.69801186,-95.31071079
ABINEF_stripped.cif,0.664182998,0.745451121,1.27062,1036.21,0.55048,-3.35E+00,-3.69E+00,-3.65E+00,-19.47631417,-28.28009709,-28.83942072,-45.40651648
ABIWEN_stripped.cif,0.616469212,0.848128127,0.961686,1497.01,0.61942,-3.78E+00,-4.46E+00,-4.15E+00,-21.70590521,-34.34739428,-32.69786334,-43.20991605
ABIYIV_stripped.cif,0.589252384,0.757923391,1.12318,1209.04,0.55944,-3.76E+00,-4.15E+00,-4.27E+00,-18.78734133,-33.5873905,-30.8977966,-62.08742562
ABUBOQ_stripped.cif,0.593037828,0.659041028,2.33238,902.875,0.45864,-2.40E+00,-2.91E+00,-2.93E+00,-15.54783406,-20.02463664,-24.55291076,-20.41588163
ABUWOJ_stripped.cif,0.605347073,0.705837209,1.15833,1027.24,0.61912,-3.40E+00,-4.41E+00,-4.77E+00,-19.61994847,-42.39994051,-44.77896143,-80.28341605
ACAFAO_stripped.cif,0.730178849,0.793952342,1.58979,755.339,0.4461,-3.73E+00,-3.96E+00,-4.08E+00,-22.18942595,-26.45639695,-29.96750393,-15.30874444
ACAJOF_stripped.cif,0.785672863,0.836576009,1.21871,961.577,0.51108,-3.80E+00,-3.85E+00,-4.23E+00,-19.10190221,-23.29589537,-28.73373544,-19.28129708
ACASUT_stripped.cif,0.637465713,0.771936393,1.06202,1995.1,0.66802,-3.17E+00,-3.73E+00,-4.10E+00,-14.39846193,-30.77705009,-36.13038062,-63.9634004
ACATAB_stripped.cif,0.779889289,0.817136151,1.1936,1050.76,0.54702,-3.45E+00,-3.53E+00,-3.68E+00,-17.41411961,-20.12012549,-23.38428126,-20.57112451
ACATEF_stripped.cif,0.646987621,0.751717797,1.22198,1189.41,0.54246,-3.19E+00,-3.41E+00,-3.50E+00,-19.86189494,-24.64294151,-26.6283717,-15.92036265
