MOF Name,PLD (log10),LCD (log10),Density (g/cc),VSA (m2/cc),VF ,DC_CH4 (log10),DC_CO2 (log10),DC_H2S (log10),Qst_CH4,Qst_CO2,Qst_H2S,Qst_H2O
ABAYEI_stripped.cif,0.580534961,0.6827459909999999,2.59228,443.61300000000006,0.47916000000000003,-4.37,-4.39,-4.6,-15.37351004,-33.01586713,-35.12381921,-58.60644811
ABAZEI_stripped.cif,0.8709613409999999,0.910226208,0.753488,1445.27,0.62354,-3.82,-4.19,-4.47,-18.55426515,-28.16941635,-31.9386163,-33.32335217
ABEMIF_stripped.cif,0.8326704659999999,1.0512494079999999,1.15199,1193.02,0.64304,-3.13,-3.58,-3.59,-17.33993856,-21.22254512,-23.29901377,-11.42468549
ABEXEM_stripped.cif,0.616197098,0.6832109940000001,1.76082,660.061,0.48976000000000003,-3.66,-4.79,-4.11,-18.92007978,-45.02150079,-36.721178,-103.17524350000001
ABEXEN_stripped.cif,1.137312009,1.2743403070000001,0.723204,1591.23,0.7398600000000001,-3.29,-3.81,-3.9,-16.97382966,-21.18343465,-23.57456307,-11.73404978
ABEXIQ_stripped.cif,0.61064739,0.6812738079999999,1.7876,605.013,0.48433999999999994,-3.68,-5.21,-4.4,-19.09198355,-56.68826776,-42.23906258,-145.9090397
ABEXOW_stripped.cif,0.606527539,0.6786722209999999,1.81243,582.737,0.47998,-3.63,-5.39,-4.31,-19.26808809,-53.77109701,-41.24972228,-142.73289519999997
ABEXUC_stripped.cif,0.603075053,0.67617489,1.8481299999999998,545.161,0.47021999999999997,-3.66,-5.36,-4.54,-19.47556964,-56.40355958,-42.66980787,-139.0538532
ABEYAJ_stripped.cif,0.59808982,0.6748694040000001,1.90641,528.163,0.47562,-3.71,-4.71,-4.46,-19.64283406,-46.71507818,-39.22110304,-121.75964180000001
ABEYEN_stripped.cif,0.594960188,0.672578088,1.9293,493.973,0.47284,-3.95,-4.84,-4.52,-19.80525223,-47.45896123,-39.85568203,-122.29076699999999
ABEYIR_stripped.cif,0.593515341,0.6716957179999999,1.9696200000000001,462.26599999999996,0.46871999999999997,-3.93,-4.23,-4.43,-19.93265672,-37.17270107,-36.69801186,-95.31071079
ABINEF_stripped.cif,0.664182998,0.745451121,1.27062,1036.21,0.55048,-3.35,-3.69,-3.65,-19.47631417,-28.28009709,-28.83942072,-45.40651648
ABIWEN_stripped.cif,0.616469212,0.8481281270000001,0.961686,1497.01,0.61942,-3.78,-4.46,-4.15,-21.70590521,-34.34739428,-32.69786334,-43.20991605
