MOF,CO2 loading (mol/kg),CH4 loading (mol/kg),CO2 error (mol/kg),CH4 error (mol/kg),Selectivity (CO2),Selectivity error,TSN,LOG10 TSN,logS error,TSN error,logS,TSN Class,PLD,PLD log10,LCD,LCD log10,Density (g/cc),VSA (m2/cc),GSA (m2/g),VF,PV (cc/g),PV (cc/g) log10,K0_CH4,K0_CH4 log10,K0_CO2,K0_CO2 log10,K0_H2S,K0_H2S log10,K0_H2O,K0_H2O log10,DC_CH4,DC_CH4 log10,DC_CO2,DC_CO2 log10,DC_H2S,DC_H2S log10,P_CH4,P_CH4 log10,P_CO2,P_CO2 log10,P_H2S,P_H2S log10,Qst_CH4,Qst_CO2,Qst_H2S,Qst_H2O,Maximum Dimensions
ABEXEM_stripped.cif,4.184146684,0.049489637,0.059943581,0.008846699,84.54591515,15.16176879,8.063238236,0.906509492,0.077882799,0.345741793,1.927092629,HIGH,4.13235,0.616197098,4.82182,0.683210994,1.76082,660.061,374.86,0.48976,0.278143,-0.555731865,5.46E-06,-5.26E+00,0.00124979,-2.903162955,0.000742061,-3.129560393,544536,5.736026597,0.000217781,-3.661980012,1.62E-05,-4.79E+00,7.75E-05,-4.11E+00,624673.0526,5.795652772,10650787.97,7.027381739,30234434.55,7.480501851,-18.92007978,-45.02150079,-36.721178,-103.1752435,3
ABEXIQ_stripped.cif,4.303340064,0.021569931,0.029570708,0.002535768,199.5064353,23.49407517,9.897496712,0.995525366,0.051142948,0.230354444,2.299956909,HIGH,4.07988,0.61064739,4.80036,0.681273808,1.7876,605.013,338.45,0.48434,0.270944,-0.567120462,5.37E-06,-5.27E+00,0.0453272,-1.343641108,0.00322502,-2.491467588,4.75E+12,12.67669361,0.000211295,-3.67511078,6.22E-06,-5.21E+00,4.02E-05,-4.40E+00,605288.9392,5.781962738,150385087.6,8.177204773,69201804.89,7.840117422,-19.09198355,-56.68826776,-42.23906258,-145.9090397,3
ABEXOW_stripped.cif,4.25559579,0.021081938,0.028441812,0.001810149,201.8597972,17.38462393,9.809360364,0.991640689,0.037402427,0.172142531,2.305049833,HIGH,4.04136,0.606527539,4.77169,0.678672221,1.81243,582.737,321.522,0.47998,0.264826,-0.577039379,5.45E-06,-5.26E+00,0.018944,-1.722528315,0.00242818,-2.614719122,1.59E+12,12.20139712,0.000232171,-3.634192028,4.10E-06,-5.39E+00,4.87E-05,-4.31E+00,684079.1343,5.835106344,42010078.49,7.623353493,63967598.3,7.805960045,-19.26808809,-53.77109701,-41.24972228,-142.7328952,3
ABEXUC_stripped.cif,4.198856446,0.019478501,0.025319458,0.003235362,215.5636377,35.82851793,9.798348546,0.991152884,0.072183453,0.308793345,2.333575504,HIGH,4.00936,0.603075053,4.74433,0.67617489,1.84813,545.161,294.98,0.47022,0.25443,-0.594431682,5.45E-06,-5.26E+00,0.0785289,-1.104970486,0.00336752,-2.472689816,3.76E+11,11.57518784,0.000217329,-3.662882318,4.35E-06,-5.36E+00,2.88E-05,-4.54E+00,653785.8319,5.815435505,188367829.9,8.275006734,53526924.17,7.728572288,-19.47556964,-56.40355958,-42.66980787,-139.0538532,3
ABEYAJ_stripped.cif,4.090931921,0.020970424,0.040942803,0.009965895,195.0810285,92.73003421,9.369113799,0.971698514,0.206438025,0.849713499,2.290215037,HIGH,3.9636,0.59808982,4.73009,0.674869404,1.90641,528.163,277.047,0.47562,0.249485,-0.602955561,5.26E-06,-5.28E+00,0.00194325,-2.711471324,0.001221,-2.913284336,252347000,8.401998146,0.000195277,-3.709348906,1.93E-05,-4.71E+00,3.47E-05,-4.46E+00,584413.6927,5.766720383,21397063.15,7.330354168,24124610.84,7.382460316,-19.64283406,-46.71507818,-39.22110304,-121.7596418,3
ABEYEN_stripped.cif,3.980060206,0.027220369,0.048178285,0.008790393,146.2162484,47.25141239,8.616812979,0.935346667,0.140347108,0.568245033,2.164995637,HIGH,3.93514,0.594960188,4.7052,0.672578088,1.9293,493.973,256.038,0.47284,0.245084,-0.61068504,5.28E-06,-5.28E+00,0.00187923,-2.726020063,0.00137002,-2.863273093,297990000,8.47420169,0.000113274,-3.945869763,1.45E-05,-4.84E+00,3.05E-05,-4.52E+00,344500.4601,5.537189806,15698048.93,7.195845678,24027059.29,7.38070062,-19.80525223,-47.45896123,-39.85568203,-122.290767,3
ABEYIR_stripped.cif,3.73286247,0.049331718,0.052267679,0.007069137,75.66860816,10.89480175,7.013734071,0.845949295,0.062529924,0.253233832,1.878915746,HIGH,3.92207,0.593515341,4.69565,0.671695718,1.96962,462.266,234.698,0.46872,0.237975,-0.623468665,5.25E-06,-5.28E+00,0.000212918,-3.671787622,0.000570306,-3.243892059,9232.08,3.965299559,0.000116167,-3.934917226,5.91E-05,-4.23E+00,3.70E-05,-4.43E+00,358815.526,5.554871227,7393069.145,6.868824768,12403372.96,7.093539803,-19.93265672,-37.17270107,-36.69801186,-95.31071079,3
ABIYIV_stripped.cif,6.285969661,0.637037802,0.146521562,0.06347519,9.867498663,1.009753519,6.249555518,0.79584913,0.044441899,0.315060006,0.994207076,HIGH,3.88376,0.589252384,5.72695,0.757923391,1.12318,1209.04,1076.44,0.55944,0.498084,-0.302697409,1.50E-05,-4.82E+00,0.000324698,-3.488520386,0.000493205,-3.306972529,2.07289,0.316576256,0.000172278,-3.763770179,7.10E-05,-4.15E+00,5.36E-05,-4.27E+00,863873.9964,5.936450401,7732629.42,6.888327197,8860297.259,6.947448293,-18.78734133,-33.5873905,-30.8977966,-62.08742562,3
ABUWOJ_stripped.cif,8.964929774,0.193213848,0.190406717,0.014669599,46.39900235,3.658047345,14.94013295,1.174354462,0.034239309,0.441484538,1.666508643,HIGH,4.03039,0.605347073,5.07969,0.705837209,1.15833,1027.24,886.83,0.61912,0.534495,-0.272056353,1.82E-05,-4.74E+00,0.00494891,-2.305490444,0.0209659,-1.67848649,1926.48,3.284764505,0.000396388,-3.401879502,3.88E-05,-4.41E+00,1.68E-05,-4.77E+00,2497914.368,6.397577546,66447223.36,7.822476838,122073307.1,8.08662071,-19.61994847,-42.39994051,-44.77896143,-80.28341605,3
ACAJOF_stripped.cif,3.115642988,0.886415416,0.067557654,0.025366822,3.514879065,0.126199284,1.700861869,0.230669045,0.015593041,0.060995166,0.545910387,LOW,6.10482,0.785672863,6.86398,0.836576009,1.21871,961.577,789.01,0.51108,0.41936,-0.377412996,1.16E-05,-4.94E+00,2.50E-05,-4.602059991,0.000149668,-3.824871045,3.43E-06,-5.46470588,0.000158789,-3.799179586,0.000140311,-3.85E+00,5.87E-05,-4.23E+00,668600.3973,5.82516663,1278401.73,6.10666735,3193988.557,6.504333356,-19.10190221,-23.29589537,-28.73373544,-19.28129708,3
