,MOF,CO2 loading (mol/kg),CH4 loading (mol/kg),CO2 error (mol/kg),CH4 error (mol/kg),SC CO2 loading (mol/kg),SC CH4 loading (mol/kg),SC CO2 error (mol/kg),SC CH4 error (mol/kg),Selectivity (CO2),Selectivity error,TSN,LOG10 TSN,logS error,TSN error,logS,TSN Class,PLD,PLD log10,LCD,LCD log10,Density (g/cc),VSA (m2/cc),GSA (m2/g),VF,PV (cc/g),PV (cc/g) log10,K0_CH4,K0_CH4 log10,K0_CO2,K0_CO2 log10,K0_H2S,K0_H2S log10,K0_H2O,K0_H2O log10,DC_CH4,DC_CH4 log10,DC_CO2,DC_CO2 log10,DC_H2S,DC_H2S log10,P_CH4,P_CH4 log10,P_CO2,P_CO2 log10,P_H2S,P_H2S log10,Qst_CH4,Qst_CO2,Qst_H2S,Qst_H2O,Maximum Dimensions
0,ABEXEM_stripped.cif,4.1841466844,0.0494896374,0.0599435812,0.0088466987,4.3548572808,1.6278413616,0.0277600295,0.0306943578,84.54591514950158,15.16176879370583,8.063238235951639,0.9065094916275427,0.07788279908444733,0.3457417926217407,1.927092629427712,HIGH,4.13235,0.6161970980923407,4.82182,0.6832109939995776,1.76082,660.061,374.86,0.48976,0.278143,-0.555731865435997,5.46e-06,-5.262807357295263,0.00124979,-2.9031629545943534,0.000742061,-3.1295603927337754,544536.0,5.736026596827377,0.000217781,-3.6619800123446846,1.62e-05,-4.790484985457369,7.75e-05,-4.110698297493689,624673.0526,5.795652771578253,10650787.97,7.027381739076523,30234434.55,7.480501850761999,-18.92007978,-45.02150079,-36.721178,-103.1752435,3
1,ABEXIQ_stripped.cif,4.3033400639,0.0215699311,0.0295707079,0.0025357683,4.3965777667,1.5992523569,0.0465533339,0.0294851701,199.5064353219005,23.49407517157675,9.89749671150079,0.9955253661274706,0.05114294778498264,0.2303544440576821,2.299956908943644,HIGH,4.07988,0.6106473895349178,4.80036,0.6812738082403378,1.7876,605.013,338.45,0.48434,0.270944,-0.5671204619084395,5.37e-06,-5.270025714300444,0.0453272,-1.3436411078133028,0.00322502,-2.491467587737952,4750000000000.0,12.676693609624866,0.000211295,-3.6751107797962512,6.22e-06,-5.206209615309182,4.02e-05,-4.39577394691553,605288.9392,5.781962737867128,150385087.6,8.177204773129796,69201804.89,7.840117421675621,-19.09198355,-56.68826776,-42.23906258,-145.9090397,3
2,ABEXOW_stripped.cif,4.2555957903,0.0210819383,0.0284418117,0.001810149,4.3490499494,1.5596835789,0.033807358,0.0591471608,201.859797222725,17.38462392681893,9.809360364252965,0.9916406894052229,0.03740242656169045,0.1721425308689388,2.305049832649038,HIGH,4.04136,0.6065275386509408,4.77169,0.6786722213221608,1.81243,582.737,321.522,0.47998,0.264826,-0.5770393791182249,5.45e-06,-5.2636034977233574,0.018944,-1.7225283149571742,0.00242818,-2.6147191223293977,1590000000000.0,12.20139712432045,0.000232171,-3.634192028036383,4.1e-06,-5.3872161432802645,4.87e-05,-4.3124710387853655,684079.1343,5.835106343828187,42010078.49,7.623353492957703,63967598.3,7.805960045189381,-19.26808809,-53.77109701,-41.24972228,-142.7328952,3
3,ABEXUC_stripped.cif,4.1988564459,0.0194785006,0.025319458,0.0032353618,4.3232197832,1.5269721616,0.0485920855,0.0456693105,215.5636376806128,35.82851792736999,9.798348546101085,0.9911528840850053,0.07218345263630681,0.3087933454683129,2.333575503794312,HIGH,4.00936,0.6030750532557921,4.74433,0.6761748895034609,1.84813,545.161,294.98,0.47022,0.25443,-0.5944316820711556,5.45e-06,-5.2636034977233574,0.0785289,-1.1049704859206044,0.00336752,-2.472689816283865,376000000000.0,11.575187844927662,0.000217329,-3.662882318319875,4.35e-06,-5.361510743045363,2.88e-05,-4.540607512240769,653785.8319,5.81543550481223,188367829.9,8.27500673449785,53526924.17,7.728572288136361,-19.47556964,-56.40355958,-42.66980787,-139.0538532,3
4,ABEYAJ_stripped.cif,4.0909319211,0.0209704242,0.0409428028,0.0099658952,4.1739543794,1.4380258851,0.0163393473,0.0127098816,195.0810285039441,92.73003420893242,9.369113799442518,0.9716985140240183,0.2064380246120391,0.8497134987879792,2.290215036607913,HIGH,3.9636,0.5980898197390391,4.73009,0.6748694041905635,1.90641,528.163,277.047,0.47562,0.249485,-0.6029555607141807,5.26e-06,-5.279014255846261,0.00194325,-2.711471323622475,0.001221,-2.9132843360551175,252347000.0,8.401998146037446,0.000195277,-3.709348905515559,1.93e-05,-4.714442690992226,3.47e-05,-4.459670525209126,584413.6927,5.766720382817336,21397063.15,7.330354168429727,24124610.84,7.382460316361789,-19.64283406,-46.71507818,-39.22110304,-121.7596418,3
5,ABEYEN_stripped.cif,3.9800602059,0.0272203688,0.0481782849,0.0087903926,4.1257655155,1.4407404384,0.0300794591,0.0340217956,146.2162483963112,47.25141238630232,8.616812979264605,0.9353466670485318,0.1403471083862371,0.5682450328240005,2.164995636621559,HIGH,3.93514,0.5949601878122104,4.7052,0.6725780883478315,1.9293,493.973,256.038,0.47284,0.245084,-0.6106850401902904,5.28e-06,-5.277366077466188,0.00187923,-2.726020063104407,0.00137002,-2.8632730928244414,297990000.0,8.474201690191393,0.000113274,-3.9458697631492083,1.45e-05,-4.838631997765025,3.05e-05,-4.515700160653214,344500.4601,5.537189806269066,15698048.93,7.195845678422647,24027059.29,7.3807006200640775,-19.80525223,-47.45896123,-39.85568203,-122.290767,3
6,ABEYIR_stripped.cif,3.7328624696,0.0493317184,0.0522676786,0.0070691369,3.9243612587,1.3772766984,0.0654691508,0.0382881914,75.66860816265424,10.89480175281638,7.013734070632882,0.845949295356982,0.06252992353853361,0.2532338323368695,1.878915745691656,HIGH,3.92207,0.5935153405664518,4.69565,0.6716957184070501,1.96962,462.266,234.698,0.46872,0.237975,-0.6234686645078877,5.25e-06,-5.279840696594043,0.000212918,-3.671787621933076,0.000570306,-3.2438920593228655,9232.08,3.965299559179076,0.000116167,-3.9349172261052647,5.91e-05,-4.228412519118745,3.7e-05,-4.431798275933005,358815.526,5.554871226764033,7393069.145,6.868824768033243,12403372.96,7.09353980280108,-19.93265672,-37.17270107,-36.69801186,-95.31071079,3
7,ABIYIV_stripped.cif,6.2859696614,0.6370378022,0.1465215622,0.06347519,7.4920874069,4.5234844381,0.1108477481,0.02561351,9.867498662860358,1.009753518891359,6.249555518246344,0.7958491304901036,0.04444189924113841,0.3150600055604293,0.9942070762165363,HIGH,3.88376,0.589252384496498,5.72695,0.7579233914564606,1.12318,1209.04,1076.44,0.55944,0.498084,-0.30269740892675395,1.4956e-05,-4.825184543517818,0.000324698,-3.488520386432942,0.000493205,-3.306972529275409,2.07289,0.3165762564303143,0.000172278,-3.7637701786670736,7.1e-05,-4.1487416512809245,5.36e-05,-4.27083521030723,863873.9964,5.936450401438527,7732629.42,6.88832719746558,8860297.259,6.947448292516597,-18.78734133,-33.5873905,-30.8977966,-62.08742562,3
8,ABUWOJ_stripped.cif,8.9649297738,0.1932138477,0.1904067167,0.0146695988,9.6983086811,5.1162522371,0.1628139908,0.1061930452,46.39900235163113,3.658047345275794,14.94013294897098,1.1743544621880524,0.03423930895225957,0.4414845383121691,1.66650864267041,HIGH,4.03039,0.6053470726058523,5.07969,0.7058372092529347,1.15833,1027.24,886.83,0.61912,0.534495,-0.27205635309798354,1.82e-05,-4.739928612014925,0.00494891,-2.305490444119492,0.0209659,-1.6784864899671008,1926.48,3.2847645046883787,0.000396388,-3.4018795015446517,3.88e-05,-4.411168274405793,1.68e-05,-4.774690718274138,2497914.368,6.3975775460707345,66447223.36,7.822476837729842,122073307.1,8.086620710246955,-19.61994847,-42.39994051,-44.77896143,-80.28341605,3
9,ACAJOF_stripped.cif,3.115642988,0.8864154159,0.0675576539,0.025366822,4.3780756938,3.1267222023,0.1242668776,0.096622184,3.514879064729046,0.126199283569752,1.700861869294278,0.23066904504164268,0.01559304074625736,0.06099516612258673,0.5459103869875988,LOW,6.10482,0.7856728633408205,6.86398,0.8365760094119934,1.21871,961.577,789.01,0.51108,0.41936,-0.3774129963974747,1.16e-05,-4.935542010773082,2.5e-05,-4.6020599913279625,0.000149668,-3.8248710447404157,3.43e-06,-5.464705879957229,0.000158789,-3.799179586321814,0.000140311,-3.8529082801331884,5.87e-05,-4.231361898752385,668600.3973,5.825166630325868,1278401.73,6.106667349680293,3193988.557,6.504333355872389,-19.10190221,-23.29589537,-28.73373544,-19.28129708,3
