,row_name,col_name,R2
242,K0_CO2,P_CO2,0.9977251445981111
267,K0_H2S,P_H2S,0.9951351260224425
476,Qst_H2O,K0_H2O log10,0.9770496438633108
20,PLD,PLD log10,0.9527231948920813
53,LCD,LCD log10,0.9428447079310657
447,Qst_CO2,K0_CO2 log10,0.9135477941792026
462,Qst_H2S,K0_H2S log10,0.8883306792602695
144,GSA (m2/g),PV (cc/g) log10,0.8593116955428308
127,GSA (m2/g),PV (cc/g),0.8572966462839524
199,PV (cc/g),PV (cc/g) log10,0.8288272728953201
126,GSA (m2/g),VF,0.8195234210785772
172,VF,PV (cc/g) log10,0.8057703988709293
97,VSA (m2/cc),VF,0.7953446451898087
85,Density (g/cc),PV (cc/g) log10,0.752740278485838
531,K0_CO2 log10,P_CO2 log10,0.7431934919505621
451,Qst_CO2,DC_CO2 log10,0.7343601789014093
96,VSA (m2/cc),GSA (m2/g),0.7122560424514092
324,DC_CH4,DC_CH4 log10,0.7093850519526467
483,PLD log10,LCD log10,0.6828641012434884
155,VF,PV (cc/g),0.6827403332124117
449,Qst_CO2,K0_H2O log10,0.6821079497403835
346,DC_CO2,DC_CO2 log10,0.6667201271212713
442,Qst_CO2,Qst_H2O,0.6626463852819807
330,DC_CO2,DC_H2S,0.6560695823730561
525,K0_CO2 log10,K0_H2S log10,0.6455955783323071
526,K0_CO2 log10,K0_H2O log10,0.6361355226121902
21,PLD,LCD log10,0.6309163371037358
441,Qst_CO2,Qst_H2S,0.630095615258572
431,Qst_CH4,K0_CH4 log10,0.6276813296417043
52,LCD,PLD log10,0.6182531662174058
0,PLD,LCD,0.6144138630974193
171,VF,LCD log10,0.6069779916683414
367,DC_H2S,DC_H2S log10,0.6052558155779441
539,K0_H2S log10,P_H2S log10,0.5974343452368039
37,LCD,PV (cc/g),0.5932000339442627
461,Qst_H2S,K0_CO2 log10,0.5904413561446136
466,Qst_H2S,DC_H2S log10,0.5875018629269889
226,K0_CH4,K0_CH4 log10,0.5873994005839873
474,Qst_H2O,K0_CO2 log10,0.5873753457512801
115,VSA (m2/cc),PV (cc/g) log10,0.5871809911179744
528,K0_CO2 log10,DC_CO2 log10,0.5854659813821451
560,P_CO2 log10,P_H2S log10,0.5847577436212491
36,LCD,VF,0.5714128833435967
454,Qst_CO2,P_CO2 log10,0.5668134366715116
448,Qst_CO2,K0_H2S log10,0.5608446414146023
309,DC_CH4,DC_H2S,0.5524357555122612
538,K0_H2S log10,P_CO2 log10,0.5517187481107118
541,K0_H2O log10,DC_CO2 log10,0.5245076034328598
478,Qst_H2O,DC_CO2 log10,0.522838731187147
198,PV (cc/g),LCD log10,0.5121811701247879
551,DC_CO2 log10,DC_H2S log10,0.5055272445347543
166,VF,Qst_CH4,0.5045607443271203
335,DC_CO2,Qst_CO2,0.5014074692429848
35,LCD,GSA (m2/g),0.49616600146219114
143,GSA (m2/g),LCD log10,0.4940707717831009
495,LCD log10,PV (cc/g) log10,0.4919396501333473
66,Density (g/cc),GSA (m2/g),0.4907280277317886
54,LCD,PV (cc/g) log10,0.4884359400307295
347,DC_CO2,DC_H2S log10,0.48611137724536757
68,Density (g/cc),PV (cc/g),0.48400114391299276
465,Qst_H2S,DC_CO2 log10,0.4769330877165232
109,VSA (m2/cc),Qst_CH4,0.4594755644683283
559,P_CH4 log10,P_H2S log10,0.4473609985415779
336,DC_CO2,Qst_H2S,0.43690180618665114
138,GSA (m2/g),Qst_CH4,0.4279006737619473
365,DC_H2S,DC_CH4 log10,0.42430128207498996
536,K0_H2S log10,DC_H2S log10,0.42032171937932705
216,K0_CH4,P_CH4,0.41758692233997413
428,Qst_CH4,PLD log10,0.4069706653868781
469,Qst_H2S,P_H2S log10,0.40448896894551045
468,Qst_H2S,P_CO2 log10,0.4025072789737579
219,K0_CH4,Qst_CH4,0.39751109334256546
429,Qst_CH4,LCD log10,0.3970701454417186
522,K0_CH4 log10,P_CH4 log10,0.39600165352068617
170,VF,PLD log10,0.39591982841294737
98,VSA (m2/cc),PV (cc/g),0.3930799175341335
547,DC_CH4 log10,DC_H2S log10,0.3837370940186353
67,Density (g/cc),VF,0.3774642276103616
366,DC_H2S,DC_CO2 log10,0.3766871290093615
505,LCD log10,P_H2S log10,0.3733739520923039
452,Qst_CO2,DC_H2S log10,0.36716841958440033
5,PLD,PV (cc/g),0.36711261565272585
532,K0_CO2 log10,P_H2S log10,0.36487220408378157
114,VSA (m2/cc),LCD log10,0.36266274241389695
4,PLD,VF,0.3617680157540224
16,PLD,Qst_CH4,0.3572404979394915
463,Qst_H2S,K0_H2O log10,0.3526432973781359
197,PV (cc/g),PLD log10,0.35259464392423767
342,DC_CO2,K0_CO2 log10,0.35062143604269175
48,LCD,Qst_CH4,0.34561568982748364
456,Qst_H2S,Qst_H2O,0.3415781573660809
544,K0_H2O log10,P_CO2 log10,0.34067293190580883
535,K0_H2S log10,DC_CO2 log10,0.33852168283317785
356,DC_H2S,Qst_H2S,0.33460054808980966
435,Qst_CH4,DC_CH4 log10,0.3271226275396445
193,PV (cc/g),Qst_CH4,0.32631301062616713
64,LCD,P_H2S log10,0.3259438766371787
142,GSA (m2/g),PLD log10,0.3233502909823724
433,Qst_CH4,K0_H2S log10,0.31551767413686543
430,Qst_CH4,PV (cc/g) log10,0.30600182191309816
484,PLD log10,PV (cc/g) log10,0.30316544115454414
308,DC_CH4,DC_CO2,0.30135710038478947
524,K0_CH4 log10,P_H2S log10,0.30058668346734335
529,K0_CO2 log10,DC_H2S log10,0.3002974421988146
337,DC_CO2,Qst_H2O,0.2997903263334642
188,PV (cc/g),DC_CO2,0.29890670082168996
494,PLD log10,P_H2S log10,0.2985011077537845
343,DC_CO2,K0_H2S log10,0.2975133021399896
481,Qst_H2O,P_CO2 log10,0.2963181627520063
498,LCD log10,K0_H2S log10,0.29455026401267836
440,Qst_CH4,P_H2S log10,0.293923862226628
533,K0_H2S log10,K0_H2O log10,0.2936300466792362
3,PLD,GSA (m2/g),0.29274343192276003
487,PLD log10,K0_H2S log10,0.2909172140313738
233,K0_CH4,P_CH4 log10,0.2866034543534931
344,DC_CO2,K0_H2O log10,0.284664020175614
65,Density (g/cc),VSA (m2/cc),0.28273721027053683
22,PLD,PV (cc/g) log10,0.28172093693797384
34,LCD,VSA (m2/cc),0.2816638337136022
326,DC_CH4,DC_H2S log10,0.28042521936728765
458,Qst_H2S,LCD log10,0.2754756064950454
133,GSA (m2/g),DC_CO2,0.2743198883746604
140,GSA (m2/g),Qst_H2S,0.273058449559735
345,DC_CO2,DC_CH4 log10,0.2722754957434924
426,Qst_CH4,Qst_H2S,0.27060351353918194
455,Qst_CO2,P_H2S log10,0.2685297481048651
475,Qst_H2O,K0_H2S log10,0.2667467634866523
32,PLD,P_H2S log10,0.2659921678071299
120,VSA (m2/cc),DC_CH4 log10,0.2616358464169602
57,LCD,K0_H2S log10,0.26096813753973014
195,PV (cc/g),Qst_H2S,0.2569400348649196
504,LCD log10,P_CO2 log10,0.25353639618213586
132,GSA (m2/g),DC_CH4,0.2523801458517591
50,LCD,Qst_H2S,0.2504964344827774
457,Qst_H2S,PLD log10,0.24946646496806568
548,DC_CH4 log10,P_CH4 log10,0.24931639735800648
25,PLD,K0_H2S log10,0.24864027413687612
542,K0_H2O log10,DC_H2S log10,0.24735451706161027
168,VF,Qst_H2S,0.24623135014656755
479,Qst_H2O,DC_H2S log10,0.2438595804444628
149,GSA (m2/g),DC_CH4 log10,0.24239444511549693
459,Qst_H2S,PV (cc/g) log10,0.23977376055580152
355,DC_H2S,Qst_CO2,0.2396129354229894
235,K0_CH4,P_H2S log10,0.23922824008052385
558,P_CH4 log10,P_CO2 log10,0.22929537477925668
113,VSA (m2/cc),PLD log10,0.22323468095641816
63,LCD,P_CO2 log10,0.2192440798052183
313,DC_CH4,Qst_CH4,0.218833864152891
363,DC_H2S,K0_H2S log10,0.21721749449586433
340,DC_CO2,PV (cc/g) log10,0.21432715432029345
18,PLD,Qst_H2S,0.21427702390354927
182,VF,P_H2S log10,0.21159563086195965
517,K0_CH4 log10,K0_H2S log10,0.21009187835573884
103,VSA (m2/cc),DC_CH4,0.20956706096994396
493,PLD log10,P_CO2 log10,0.20868307920855997
444,Qst_CO2,LCD log10,0.2062373616317709
209,PV (cc/g),P_H2S log10,0.20092135053175952
134,GSA (m2/g),DC_H2S,0.19812109032293534
485,PLD log10,K0_CH4 log10,0.1976882846165321
515,PV (cc/g) log10,P_H2S log10,0.19508269440002796
187,PV (cc/g),DC_CH4,0.19338794939836743
177,VF,DC_CH4 log10,0.19312851603604694
84,Density (g/cc),LCD log10,0.19104522004330138
497,LCD log10,K0_CO2 log10,0.1892306997200661
33,LCD,Density (g/cc),0.18759530893162585
189,PV (cc/g),DC_H2S,0.18687995229743415
49,LCD,Qst_CO2,0.18486129041594965
327,DC_CH4,P_CH4 log10,0.18427345929958702
486,PLD log10,K0_CO2 log10,0.18075932804969702
111,VSA (m2/cc),Qst_H2S,0.17813459460910075
31,PLD,P_CO2 log10,0.17776899382973715
147,GSA (m2/g),K0_H2S log10,0.17675382526538166
154,GSA (m2/g),P_H2S log10,0.17650483766156835
