,row_name,col_name,R2
242,K0_CO2,P_CO2,0.9977275131284413
267,K0_H2S,P_H2S,0.9951607502558816
476,Qst_H2O,K0_H2O log10,0.9773308455098941
20,PLD,PLD log10,0.951616771305179
53,LCD,LCD log10,0.9339624275524635
447,Qst_CO2,K0_CO2 log10,0.911663867626737
462,Qst_H2S,K0_H2S log10,0.8836769655499364
144,GSA (m2/g),PV (cc/g) log10,0.8516911303845343
127,GSA (m2/g),PV (cc/g),0.8465574792282187
199,PV (cc/g),PV (cc/g) log10,0.8184423293760518
126,GSA (m2/g),VF,0.8168624196576074
172,VF,PV (cc/g) log10,0.8102551825037505
97,VSA (m2/cc),VF,0.7814134231599469
85,Density (g/cc),PV (cc/g) log10,0.7606567524613
531,K0_CO2 log10,P_CO2 log10,0.7397195895190276
451,Qst_CO2,DC_CO2 log10,0.7355204064806553
324,DC_CH4,DC_CH4 log10,0.7189717710266694
483,PLD log10,LCD log10,0.7038871652710894
96,VSA (m2/cc),GSA (m2/g),0.7020408263457234
449,Qst_CO2,K0_H2O log10,0.6877838600919746
155,VF,PV (cc/g),0.6736722448713073
442,Qst_CO2,Qst_H2O,0.6716162045502668
346,DC_CO2,DC_CO2 log10,0.6645804791916484
21,PLD,LCD log10,0.6626145173129655
330,DC_CO2,DC_H2S,0.6530551462775617
0,PLD,LCD,0.650656925997342
526,K0_CO2 log10,K0_H2O log10,0.6403556865181883
52,LCD,PLD log10,0.6373091737324733
525,K0_CO2 log10,K0_H2S log10,0.6337219546775942
431,Qst_CH4,K0_CH4 log10,0.6202662852494901
441,Qst_CO2,Qst_H2S,0.6195061538003637
37,LCD,PV (cc/g),0.6009581410380219
367,DC_H2S,DC_H2S log10,0.5976644741180883
466,Qst_H2S,DC_H2S log10,0.5944455526075864
474,Qst_H2O,K0_CO2 log10,0.5938405486119197
226,K0_CH4,K0_CH4 log10,0.589822038005225
539,K0_H2S log10,P_H2S log10,0.587380374975704
528,K0_CO2 log10,DC_CO2 log10,0.5841374304657857
461,Qst_H2S,K0_CO2 log10,0.5799535839256577
115,VSA (m2/cc),PV (cc/g) log10,0.5725778980970306
171,VF,LCD log10,0.5724982078666957
560,P_CO2 log10,P_H2S log10,0.570827114604028
454,Qst_CO2,P_CO2 log10,0.5573595747179322
448,Qst_CO2,K0_H2S log10,0.5461796193829158
309,DC_CH4,DC_H2S,0.5456152012486104
538,K0_H2S log10,P_CO2 log10,0.5408202596670483
36,LCD,VF,0.533081833626202
478,Qst_H2O,DC_CO2 log10,0.5321281245307902
541,K0_H2O log10,DC_CO2 log10,0.5318348612748212
166,VF,Qst_CH4,0.5272627431969832
198,PV (cc/g),LCD log10,0.5127126400886108
335,DC_CO2,Qst_CO2,0.5046296935619167
551,DC_CO2 log10,DC_H2S log10,0.502642724996708
66,Density (g/cc),GSA (m2/g),0.49088751115084367
347,DC_CO2,DC_H2S log10,0.48333707084026356
495,LCD log10,PV (cc/g) log10,0.4816526053903349
68,Density (g/cc),PV (cc/g),0.48005600122382086
143,GSA (m2/g),LCD log10,0.47975847698446444
109,VSA (m2/cc),Qst_CH4,0.47953545035943923
35,LCD,GSA (m2/g),0.47831186961854283
54,LCD,PV (cc/g) log10,0.4740695650834146
465,Qst_H2S,DC_CO2 log10,0.4721870659184446
559,P_CH4 log10,P_H2S log10,0.4386319862546129
336,DC_CO2,Qst_H2S,0.4383200244483328
138,GSA (m2/g),Qst_CH4,0.4353073470604482
429,Qst_CH4,LCD log10,0.4251477936762087
536,K0_H2S log10,DC_H2S log10,0.42371844686478
216,K0_CH4,P_CH4,0.4185743993284706
365,DC_H2S,DC_CH4 log10,0.41198494249853196
219,K0_CH4,Qst_CH4,0.403885702751845
522,K0_CH4 log10,P_CH4 log10,0.4033443965277242
428,Qst_CH4,PLD log10,0.40228416912870957
67,Density (g/cc),VF,0.3960308587535746
468,Qst_H2S,P_CO2 log10,0.38881069550649516
5,PLD,PV (cc/g),0.3881258274963622
469,Qst_H2S,P_H2S log10,0.38790292666276055
170,VF,PLD log10,0.3862539414902098
547,DC_CH4 log10,DC_H2S log10,0.3731384313503188
366,DC_H2S,DC_CO2 log10,0.37041306681481
98,VSA (m2/cc),PV (cc/g),0.3672792528391643
452,Qst_CO2,DC_H2S log10,0.3659353810384353
48,LCD,Qst_CH4,0.3637330474102491
197,PV (cc/g),PLD log10,0.3627160441680384
4,PLD,VF,0.36124254247199983
463,Qst_H2S,K0_H2O log10,0.35985529866632376
456,Qst_H2S,Qst_H2O,0.3528407492799338
342,DC_CO2,K0_CO2 log10,0.351168218663521
532,K0_CO2 log10,P_H2S log10,0.35006691229912185
16,PLD,Qst_CH4,0.34824068443335215
505,LCD log10,P_H2S log10,0.3401746979630111
544,K0_H2O log10,P_CO2 log10,0.33681742673238696
356,DC_H2S,Qst_H2S,0.3335817477811331
535,K0_H2S log10,DC_CO2 log10,0.3302289119720705
142,GSA (m2/g),PLD log10,0.3290339205466802
114,VSA (m2/cc),LCD log10,0.32157364608823635
193,PV (cc/g),Qst_CH4,0.32153418306818793
435,Qst_CH4,DC_CH4 log10,0.3164645307202498
430,Qst_CH4,PV (cc/g) log10,0.3154973262169721
484,PLD log10,PV (cc/g) log10,0.3135459143136285
337,DC_CO2,Qst_H2O,0.31267405385699426
3,PLD,GSA (m2/g),0.3051553695675005
188,PV (cc/g),DC_CO2,0.30115435171733546
22,PLD,PV (cc/g) log10,0.3003834978024756
529,K0_CO2 log10,DC_H2S log10,0.298021158617173
308,DC_CH4,DC_CO2,0.2973270468357765
343,DC_CO2,K0_H2S log10,0.2968275873057255
344,DC_CO2,K0_H2O log10,0.2957173199592251
533,K0_H2S log10,K0_H2O log10,0.29519523048150487
481,Qst_H2O,P_CO2 log10,0.2943762770141121
433,Qst_CH4,K0_H2S log10,0.29012618681618507
64,LCD,P_H2S log10,0.29001359671044247
233,K0_CH4,P_CH4 log10,0.28755409743679056
524,K0_CH4 log10,P_H2S log10,0.28750000043872076
65,Density (g/cc),VSA (m2/cc),0.28670275310577154
440,Qst_CH4,P_H2S log10,0.28274494712893394
120,VSA (m2/cc),DC_CH4 log10,0.2827380559572984
494,PLD log10,P_H2S log10,0.2814078368771301
133,GSA (m2/g),DC_CO2,0.2790013900722384
498,LCD log10,K0_H2S log10,0.2761772638987027
326,DC_CH4,DC_H2S log10,0.27523975247786525
132,GSA (m2/g),DC_CH4,0.27313585321577355
487,PLD log10,K0_H2S log10,0.2712593310920097
475,Qst_H2O,K0_H2S log10,0.27121423149629714
548,DC_CH4 log10,P_CH4 log10,0.26365838707156225
345,DC_CO2,DC_CH4 log10,0.262764066553689
458,Qst_H2S,LCD log10,0.26043415068089476
542,K0_H2O log10,DC_H2S log10,0.256087113560876
32,PLD,P_H2S log10,0.25511565658893864
149,GSA (m2/g),DC_CH4 log10,0.25504154352764596
479,Qst_H2O,DC_H2S log10,0.25389963041870794
140,GSA (m2/g),Qst_H2S,0.25352193959911373
455,Qst_CO2,P_H2S log10,0.250612213599562
57,LCD,K0_H2S log10,0.24010863906118962
426,Qst_CH4,Qst_H2S,0.23954265923989726
355,DC_H2S,Qst_CO2,0.23786515528294852
195,PV (cc/g),Qst_H2S,0.23773300674804718
34,LCD,VSA (m2/cc),0.23663992478077253
50,LCD,Qst_H2S,0.23307100757079874
235,K0_CH4,P_H2S log10,0.23294206797187392
25,PLD,K0_H2S log10,0.23241582383244058
457,Qst_H2S,PLD log10,0.23239755444107346
504,LCD log10,P_CO2 log10,0.23050972834179145
103,VSA (m2/cc),DC_CH4,0.22975366876925898
459,Qst_H2S,PV (cc/g) log10,0.2273202078844934
168,VF,Qst_H2S,0.22530897041157805
340,DC_CO2,PV (cc/g) log10,0.22007272643170708
558,P_CH4 log10,P_CO2 log10,0.21932119686076332
363,DC_H2S,K0_H2S log10,0.21556470300790762
313,DC_CH4,Qst_CH4,0.21259734859023466
177,VF,DC_CH4 log10,0.20918141055572317
113,VSA (m2/cc),PLD log10,0.2078237236709159
187,PV (cc/g),DC_CH4,0.20570155854707098
134,GSA (m2/g),DC_H2S,0.20427523561545302
18,PLD,Qst_H2S,0.20072582269947292
493,PLD log10,P_CO2 log10,0.19879617342651157
327,DC_CH4,P_CH4 log10,0.19759927850771772
84,Density (g/cc),LCD log10,0.1966482791790121
63,LCD,P_CO2 log10,0.1937405631727465
444,Qst_CO2,LCD log10,0.19106879944207564
189,PV (cc/g),DC_H2S,0.1886487543438767
33,LCD,Density (g/cc),0.18855324278320643
160,VF,DC_CH4,0.1875579116413129
517,K0_CH4 log10,K0_H2S log10,0.18466335964340336
485,PLD log10,K0_CH4 log10,0.18341900434737934
43,LCD,DC_CO2,0.17976926120595857
209,PV (cc/g),P_H2S log10,0.17561022948269908
497,LCD log10,K0_CO2 log10,0.17499584055673686
182,VF,P_H2S log10,0.17382931400100154
555,DC_H2S log10,P_CH4 log10,0.17338112889267773
31,PLD,P_CO2 log10,0.17177359975882683
49,LCD,Qst_CO2,0.16818511695585342
515,PV (cc/g) log10,P_H2S log10,0.1681555273754778
486,PLD log10,K0_CO2 log10,0.16778648636138035
362,DC_H2S,K0_CO2 log10,0.16585368291809163
338,DC_CO2,PLD log10,0.16518770912917102
443,Qst_CO2,PLD log10,0.16271520665689596
161,VF,DC_CO2,0.16189766739105946
204,PV (cc/g),DC_CH4 log10,0.16159105756695555
111,VSA (m2/cc),Qst_H2S,0.16058994780108415
489,PLD log10,DC_CH4 log10,0.1596698947764525
11,PLD,DC_CO2,0.15800625606446891
339,DC_CO2,LCD log10,0.1579372600772184
147,GSA (m2/g),K0_H2S log10,0.15766371456262634
23,PLD,K0_CH4 log10,0.15746084034840432
202,PV (cc/g),K0_H2S log10,0.15713633505761157
2,PLD,VSA (m2/cc),0.15378829541351807
387,P_CH4,P_CH4 log10,0.15129928985475097
194,PV (cc/g),Qst_CO2,0.15004567082671794
56,LCD,K0_CO2 log10,0.14893470846021964
175,VF,K0_H2S log10,0.14876145689538262
151,GSA (m2/g),DC_H2S log10,0.14736704063495198
154,GSA (m2/g),P_H2S log10,0.14727568589048007
368,DC_H2S,P_CH4 log10,0.14683062502654443
445,Qst_CO2,PV (cc/g) log10,0.14335922750161392
496,LCD log10,K0_CH4 log10,0.1427038298257128
24,PLD,K0_CO2 log10,0.14193371149975337
319,DC_CH4,PV (cc/g) log10,0.14117881771184415
139,GSA (m2/g),Qst_CO2,0.14114983700585962
546,DC_CH4 log10,DC_CO2 log10,0.14099132438412693
510,PV (cc/g) log10,DC_CH4 log10,0.14044501908137375
150,GSA (m2/g),DC_CO2 log10,0.14029665497733898
17,PLD,Qst_CO2,0.140022729469196
357,DC_H2S,Qst_H2O,0.13719158378324517
228,K0_CH4,K0_H2S log10,0.13710274697468147
205,PV (cc/g),DC_CO2 log10,0.1341232145359288
364,DC_H2S,K0_H2O log10,0.13330954876559703
27,PLD,DC_CH4 log10,0.13176157793896293
523,K0_CH4 log10,P_CO2 log10,0.1303634183499774
511,PV (cc/g) log10,DC_CO2 log10,0.1303369777957261
334,DC_CO2,Qst_CH4,0.12963254251379971
553,DC_CO2 log10,P_CO2 log10,0.1287528609823678
508,PV (cc/g) log10,K0_H2S log10,0.12740727749222003
464,Qst_H2S,DC_CH4 log10,0.12374977065803144
74,Density (g/cc),DC_CO2,0.1235644072741345
438,Qst_CH4,P_CH4 log10,0.12328580093573484
206,PV (cc/g),DC_H2S log10,0.1201560034982995
439,Qst_CH4,P_CO2 log10,0.12004008202916329
360,DC_H2S,PV (cc/g) log10,0.11890855908040752
351,DC_H2S,P_CH4,0.11886939471033443
55,LCD,K0_CH4 log10,0.11844572538118006
317,DC_CH4,PLD log10,0.11335145695641753
