,Descriptor,Importance Mean,Importance SD
0,PLD log10,0.05341812578688494,0.0021426724915346064
1,LCD log10,0.0410318511394381,0.0011637598964201923
2,Density (g/cc),0.0606727944183167,0.001503533907188954
3,VSA (m2/cc),0.13401193753432766,0.005108583303788813
4,VF,0.14571662717746578,0.004387854217288351
5,DC_CH4 log10,0.029865379263157237,0.0009060452881299407
6,DC_CO2 log10,0.05432123618839627,0.0025803480815073786
7,DC_H2S log10,0.03361244712190374,0.0011032705108253956
8,Qst_CH4,0.07977684921937726,0.003494662269416214
9,Qst_CO2,0.13103055330897148,0.0026529258499463516
10,Qst_H2S,0.060776197803015006,0.002258286626262259
11,Qst_H2O,0.17576600103874582,0.0021980954609077757
