,Descriptor,CO2 loading (mol/kg) Mean,CO2 loading (mol/kg) SD,CH4 loading (mol/kg) Mean,CH4 loading (mol/kg) SD,SC CO2 loading (mol/kg) Mean,SC CO2 loading (mol/kg) SD,SC CH4 loading (mol/kg) Mean,SC CH4 loading (mol/kg) SD,TSN Mean,TSN SD,LOG10 TSN Mean,LOG10 TSN SD
0,PLD log10,0.015906266606435994,0.000551557110640909,0.005951314350288008,0.000227538958280764,0.005448004279209801,0.0003247123563985192,0.021571612525376517,0.002277025067451137,0.045379279615846854,0.005323411224859796,0.02221269008877947,0.0009279343105888172
1,LCD log10,0.010897310942701268,0.00036177894339817256,0.019014539400515052,0.000695452073939892,0.005644732198029312,0.0002632481839082107,0.04064339213197164,0.0030166336480765533,0.07276659107115191,0.00470407864255413,0.027846724446571887,0.0014665914437877643
2,Density (g/cc),0.04535167267557873,0.0029808990282217443,0.8205717843115534,0.00528842127117482,0.039362806349777194,0.0061701212457770434,0.6181676318532863,0.005485357028359864,0.02628251833672653,0.0016361776754241866,0.09548736921651811,0.015546862123854858
3,VSA (m2/cc),0.22525724137997524,0.04785838961328936,0.015479499639252534,0.0004839777836270829,0.022493176783454506,0.001025838606371747,0.0748005052758177,0.004868210790182234,0.08257940683601388,0.008048519730778069,0.10808383408725182,0.004670358834072933
4,VF,0.5704025065141343,0.047643549799672114,0.03490940000361791,0.004736184135994523,0.885758687699427,0.006925126711968442,0.11111366537556519,0.003941631237816673,0.1973158900926368,0.007635463218825522,0.22319740797288343,0.02296608889061043
5,DC_CH4 log10,0.007622787376115198,0.00033972170780175814,0.004187696130673097,0.00013618528206229023,0.003523576017790996,0.0002096426358142456,0.009572447085285114,0.0005639017771994657,0.019792540025054484,0.0014291565440853263,0.012427849854390872,0.0006415606975484853
6,DC_CO2 log10,0.006887145572330025,0.0003536494591953523,0.01496318716144827,0.0011675956477467837,0.002957829796355111,7.618595424563167e-05,0.008546256301147564,0.00044532443678303875,0.013374034381715546,0.0006537952394096544,0.011009929596983551,0.0005440302790038463
7,DC_H2S log10,0.00752922295162606,0.00023395340086341753,0.006108117133125346,0.00047501909831767803,0.0035059199395937185,0.00036241498680480755,0.010975133762655381,0.001053944356719282,0.015639244787541355,0.0007573603260697617,0.012107712658494413,0.00043874306092795665
8,Qst_CH4,0.017578607208792747,0.0006915128179411094,0.008909356205150388,0.00044112434316014384,0.005927785738636865,0.00031211542963913716,0.07387768609204994,0.0019177334064070226,0.052542283909138995,0.0032603418031477687,0.03198737445690587,0.0021025759810494064
9,Qst_CO2,0.04306298895574381,0.001842320386826072,0.03918754440383049,0.0023169686279647527,0.01046411717061057,0.0006126917859377725,0.011233782571869059,0.0006402753176206924,0.061769174210569065,0.0034405175262371968,0.0964714986773538,0.003238254340341128
10,Qst_H2S,0.009026073566079183,0.0005092348683351872,0.007967844018498066,0.00029135655471423244,0.0041443702206953835,0.00023012223862849663,0.007651824404279176,0.00024111899528903418,0.027597648780106655,0.002958641055281277,0.01678679348188073,0.0010572567647236409
11,Qst_H2O,0.040478176250487434,0.0016385102243738055,0.022749717242047295,0.0019479045843523036,0.010768993806419366,0.000682734417988156,0.011846062620696499,0.0007445786195537072,0.3849613879534979,0.005050908120135319,0.34238081546198607,0.008130812446201972
