,Target,Method,Descriptor Removed,Mean R2,SD R2,Mean MAE,SD MAE,Target SD
0,CO2 loading (mol/kg),RF,PLD log10,0.8855427887475091,0.01795683208337975,0.6605488612442938,0.032665819303444886,3.0043915345947423
1,CO2 loading (mol/kg),RF,LCD log10,0.8881242730912999,0.03025157434360592,0.6524797620041369,0.06937352638734913,3.0043915345947423
2,CO2 loading (mol/kg),RF,Density (g/cc),0.8714632254487984,0.024773384512257562,0.710534388102114,0.05607541787215404,3.0043915345947423
3,CO2 loading (mol/kg),RF,VSA (m2/cc),0.8822847063574063,0.020749583759764413,0.6850902712961353,0.05059186527476074,3.0043915345947423
4,CO2 loading (mol/kg),RF,VF,0.8737017257845527,0.013488750451678544,0.70044058058423,0.040048940292282245,3.0043915345947423
5,CO2 loading (mol/kg),RF,Qst_CH4,0.8874789243854189,0.02326419808025469,0.6512690491869357,0.03160155985140126,3.0043915345947423
6,CO2 loading (mol/kg),RF,Qst_CO2,0.8816946856337815,0.023138273712439074,0.6800429162518243,0.052799843307032315,3.0043915345947423
7,CO2 loading (mol/kg),RF,Qst_H2S,0.8871615833211347,0.02401271392325215,0.6546407643961224,0.05233930833108155,3.0043915345947423
8,CO2 loading (mol/kg),RF,Qst_H2O,0.8832229790625528,0.014172200198449718,0.6613797892420756,0.03495841830331201,3.0043915345947423
9,CH4 loading (mol/kg),RF,PLD log10,0.9208016245785654,0.021530901817957266,0.13263828172788888,0.011069962371612264,0.7259442473555415
10,CH4 loading (mol/kg),RF,LCD log10,0.9186085140527798,0.012962702162022817,0.13592732687277018,0.006771161754902061,0.7259442473555415
11,CH4 loading (mol/kg),RF,Density (g/cc),0.891445309556681,0.030487317539789404,0.15942835504815334,0.01647772768065593,0.7259442473555415
12,CH4 loading (mol/kg),RF,VSA (m2/cc),0.9146171085420821,0.024396907418751404,0.13756811251368561,0.009719902888417786,0.7259442473555415
13,CH4 loading (mol/kg),RF,VF,0.9172978883360672,0.012203286148006245,0.13650778243746325,0.006923064114451778,0.7259442473555415
14,CH4 loading (mol/kg),RF,Qst_CH4,0.9170877769667211,0.01503964226137304,0.13686841884073858,0.009704752118165294,0.7259442473555415
15,CH4 loading (mol/kg),RF,Qst_CO2,0.9113421069288229,0.032675804381418504,0.1359831062366686,0.01077519179955934,0.7259442473555415
16,CH4 loading (mol/kg),RF,Qst_H2S,0.9183964827998038,0.02223326890811489,0.13463611961095845,0.007438182507242872,0.7259442473555415
17,CH4 loading (mol/kg),RF,Qst_H2O,0.9162653959843002,0.02141787204173726,0.13782078496394404,0.013722542323818173,0.7259442473555415
18,SC CO2 loading (mol/kg),RF,PLD log10,0.9501509839391101,0.005014303673898147,0.6579342664728761,0.02804672631680144,4.571950359172822
19,SC CO2 loading (mol/kg),RF,LCD log10,0.9501721014064456,0.010164218846774245,0.6574569124585209,0.05117513348551606,4.571950359172822
20,SC CO2 loading (mol/kg),RF,Density (g/cc),0.9299583454041928,0.009591935596130563,0.8069679206551672,0.06042709401513066,4.571950359172822
