,MOF,TSN Class,Predictions,TSN,Correct,,,
286,DEPJIR02_stripped.cif,HIGH,HIGH,32.86295629,TRUE,,0.911111111,
559,SIKYIV_stripped.cif,HIGH,HIGH,23.55356142,TRUE,,,
603,DEJCEB_stripped.cif,HIGH,HIGH,21.16342096,TRUE,,,
198,FOKYIP_stripped.cif,HIGH,HIGH,19.96673664,TRUE,,,
589,COTVIS_stripped.cif,HIGH,HIGH,18.96265281,TRUE,,,
294,KUJMEJ_stripped.cif,HIGH,HIGH,18.52955669,TRUE,,,
218,SIKYOB_stripped.cif,HIGH,HIGH,18.05581097,TRUE,,,
155,XOXGUN_stripped.cif,HIGH,HIGH,17.52494453,TRUE,,,
417,MOHLIF_stripped.cif,HIGH,HIGH,17.4858311,TRUE,,,
70,VIYKEV_stripped.cif,HIGH,HIGH,17.12948305,TRUE,,,
698,BUKMUQ_stripped.cif,HIGH,HIGH,17.10858675,TRUE,,,
668,MOLQEL_stripped.cif,HIGH,HIGH,17.01263362,TRUE,,,
766,MIVDIF_stripped.cif,HIGH,HIGH,16.98627191,TRUE,,,
412,DUMGAU_stripped.cif,HIGH,HIGH,16.97784099,TRUE,,,
393,SAMKOI_stripped.cif,HIGH,HIGH,16.86687819,TRUE,,,
72,ZOHFUZ_stripped.cif,HIGH,LOW,16.44162159,FALSE,,,
523,KAFJUZ_stripped.cif,HIGH,HIGH,16.43205274,TRUE,,,
365,ATEYIH_stripped.cif,HIGH,LOW,16.19712,FALSE,,,
16,WOJZEC_stripped.cif,HIGH,HIGH,16.12864633,TRUE,,,
329,AWOFOI_stripped.cif,HIGH,HIGH,15.95421541,TRUE,,,
491,NIGFOZ_stripped.cif,HIGH,HIGH,15.88377528,TRUE,,,
728,UJAQUS_stripped.cif,HIGH,HIGH,15.88326098,TRUE,,,
615,MINCIX_stripped.cif,HIGH,HIGH,15.86770027,TRUE,,,
129,CODROD_stripped.cif,HIGH,HIGH,15.74082506,TRUE,,,
59,NIGFUF_stripped.cif,HIGH,HIGH,15.65796765,TRUE,,,
3,MUYKEX_stripped.cif,HIGH,HIGH,15.59302391,TRUE,,,
352,SOTWOP_stripped.cif,HIGH,HIGH,15.47182779,TRUE,,,
26,GUJYOB_stripped.cif,HIGH,HIGH,15.30648031,TRUE,,,
463,YATTUK_stripped.cif,HIGH,HIGH,15.23009185,TRUE,,,
388,KIBDEF_stripped.cif,HIGH,HIGH,15.0497445,TRUE,,,
394,ABUWOJ_stripped.cif,HIGH,HIGH,14.94013295,TRUE,,,
160,VIDXOX_stripped.cif,HIGH,HIGH,14.87328124,TRUE,,,
454,JAKPOD_stripped.cif,HIGH,HIGH,14.85804873,TRUE,,,
296,NINVAI_stripped.cif,HIGH,HIGH,14.59233955,TRUE,,,
428,NIGFIT_stripped.cif,HIGH,HIGH,14.35799952,TRUE,,,
701,KEFBEE_stripped.cif,HIGH,HIGH,14.2220495,TRUE,,,
392,PUCFEZ_stripped.cif,HIGH,HIGH,13.99076771,TRUE,,,
689,APAZOI_stripped.cif,HIGH,HIGH,13.63536655,TRUE,,,
15,NIGGEQ_stripped.cif,HIGH,HIGH,13.54212513,TRUE,,,
386,SEHSUU_stripped.cif,HIGH,HIGH,13.448455,TRUE,,,
378,XUMDEQ_stripped.cif,HIGH,HIGH,13.39627916,TRUE,,,
190,WEHJAW_stripped.cif,HIGH,LOW,13.25262506,FALSE,,,
201,ERAJEO_stripped.cif,HIGH,HIGH,13.12053711,TRUE,,,
744,XULDEP_stripped.cif,HIGH,LOW,13.09293176,FALSE,,,
477,EYACOX_stripped.cif,HIGH,HIGH,13.05839494,TRUE,,,
628,WEHJEA_stripped.cif,HIGH,HIGH,12.99930655,TRUE,,,
162,EJEBEB_stripped.cif,HIGH,HIGH,12.9835671,TRUE,,,
172,ZATXUQ_stripped.cif,HIGH,HIGH,12.93900483,TRUE,,,
554,IRIFIA_stripped.cif,HIGH,HIGH,12.88798343,TRUE,,,
687,KEFZEC_stripped.cif,HIGH,LOW,12.87279018,FALSE,,,
63,HIQVUZ01_stripped.cif,HIGH,LOW,12.83716503,FALSE,,,
667,LUSHOX03_stripped.cif,HIGH,HIGH,12.82753881,TRUE,,,
20,DAKVOC_stripped.cif,HIGH,LOW,12.77927893,FALSE,,,
623,LUSHOX01_stripped.cif,HIGH,HIGH,12.69723971,TRUE,,,
7,XUKNIC_stripped.cif,HIGH,HIGH,12.68044672,TRUE,,,
220,WANJOL_stripped.cif,HIGH,HIGH,12.44337307,TRUE,,,
421,NIGGIU_stripped.cif,HIGH,HIGH,12.42453277,TRUE,,,
193,ORIWET_stripped.cif,HIGH,HIGH,12.42338785,TRUE,,,
459,KUZZOW_stripped.cif,HIGH,HIGH,12.38366772,TRUE,,,
303,AGAXIP_stripped.cif,HIGH,HIGH,12.33746923,TRUE,,,
727,NEBYOK_stripped.cif,HIGH,HIGH,12.11529799,TRUE,,,
144,AGAWUA_stripped.cif,HIGH,LOW,11.86846849,FALSE,,,
47,CIKJOX_stripped.cif,HIGH,HIGH,11.80462439,TRUE,,,
326,QEBZII_stripped.cif,HIGH,HIGH,11.78988279,TRUE,,,
91,SEMPIL_stripped.cif,HIGH,HIGH,11.69458551,TRUE,,,
328,DONKOI_stripped.cif,HIGH,HIGH,11.6871268,TRUE,,,
562,FOYMAI_stripped.cif,HIGH,HIGH,11.63809955,TRUE,,,
258,JOVCII_stripped.cif,HIGH,HIGH,11.55782077,TRUE,,,
272,BETDIP_stripped.cif,HIGH,HIGH,11.53966609,TRUE,,,
759,HUFHOH_stripped.cif,HIGH,HIGH,11.52360973,TRUE,,,
331,PEDBIM_stripped.cif,HIGH,HIGH,11.45735312,TRUE,,,
629,MEKKUL_stripped.cif,HIGH,HIGH,11.4537472,TRUE,,,
654,COKNOH01_stripped.cif,HIGH,HIGH,11.44857425,TRUE,,,
118,KOSKIO01_stripped.cif,HIGH,HIGH,11.44676255,TRUE,,,
438,ATOLEC_stripped.cif,HIGH,HIGH,11.43521267,TRUE,,,
2,KOSLUB_stripped.cif,HIGH,HIGH,11.42839193,TRUE,,,
418,DAXNOG03_stripped.cif,HIGH,HIGH,11.38585937,TRUE,,,
210,LIBZIG_stripped.cif,HIGH,HIGH,11.36632023,TRUE,,,
450,MUNSEV_stripped.cif,HIGH,HIGH,11.36043373,TRUE,,,
297,WIZDAL_stripped.cif,HIGH,HIGH,11.34384455,TRUE,,,
648,LARPEC_stripped.cif,HIGH,HIGH,11.29584077,TRUE,,,
4,IVUVIG_stripped.cif,HIGH,HIGH,11.2763105,TRUE,,,
427,YARGEF_stripped.cif,HIGH,HIGH,11.22814159,TRUE,,,
120,XOMCIN_stripped.cif,HIGH,HIGH,11.19134302,TRUE,,,
85,TARVUD_stripped.cif,HIGH,HIGH,11.17091554,TRUE,,,
448,MAJPOD_stripped.cif,HIGH,HIGH,11.09720551,TRUE,,,
609,ICUNIE_stripped.cif,HIGH,HIGH,11.09002188,TRUE,,,
249,APAYIB_stripped.cif,HIGH,HIGH,11.08812718,TRUE,,,
199,COWMOR_stripped.cif,HIGH,HIGH,11.0693176,TRUE,,,
513,NAJSUP_stripped.cif,HIGH,HIGH,11.04582228,TRUE,,,
738,OGEHUF_stripped.cif,HIGH,HIGH,10.98279305,TRUE,,,
261,PUDSUD_stripped.cif,HIGH,HIGH,10.9715118,TRUE,,,
644,APAYUN_stripped.cif,HIGH,HIGH,10.94905258,TRUE,,,
31,IKUTOZ_stripped.cif,HIGH,HIGH,10.93027913,TRUE,,,
149,GAJZOI_stripped.cif,HIGH,HIGH,10.79153185,TRUE,,,
577,EWEVAD_stripped.cif,HIGH,HIGH,10.78764995,TRUE,,,
682,XASPIT_stripped.cif,HIGH,HIGH,10.70164112,TRUE,,,
284,NUHRAL_stripped.cif,HIGH,HIGH,10.67127245,TRUE,,,
561,PACZUQ_stripped.cif,HIGH,HIGH,10.63026787,TRUE,,,
652,NUHQUE_stripped.cif,HIGH,HIGH,10.61846165,TRUE,,,
251,LASWIN_stripped.cif,HIGH,LOW,10.59547572,FALSE,,,
9,AFEJOK_stripped.cif,HIGH,LOW,10.58184631,FALSE,,,
114,ALUKOI_stripped.cif,HIGH,HIGH,10.57807308,TRUE,,,
466,YAVZUT_stripped.cif,HIGH,LOW,10.51622594,FALSE,,,
318,YUCZOM_stripped.cif,HIGH,HIGH,10.49162381,TRUE,,,
358,ALUKUO_stripped.cif,HIGH,HIGH,10.37389544,TRUE,,,
419,KINDOC_stripped.cif,HIGH,HIGH,10.31875296,TRUE,,,
89,MUDTAH_stripped.cif,HIGH,HIGH,10.31318823,TRUE,,,
30,SEHXEJ_stripped.cif,HIGH,HIGH,10.28702432,TRUE,,,
474,SEQSIS_stripped.cif,HIGH,HIGH,10.27722406,TRUE,,,
275,ZAXSAV_stripped.cif,HIGH,HIGH,10.22991264,TRUE,,,
175,RULGEM_stripped.cif,HIGH,HIGH,10.20998159,TRUE,,,
82,WEHSOT_stripped.cif,HIGH,HIGH,10.13796938,TRUE,,,
543,PUDSIR01_stripped.cif,HIGH,HIGH,10.13534818,TRUE,,,
282,EMAXOH_stripped.cif,HIGH,HIGH,10.10728369,TRUE,,,
525,BOYBUO_stripped.cif,HIGH,LOW,10.01867168,FALSE,,,
564,SEHTAB_stripped.cif,LOW,HIGH,9.926013116,FALSE,,,
610,MIMHOH_stripped.cif,LOW,LOW,9.915650827,TRUE,,,
212,FIRNAX01_stripped.cif,LOW,LOW,9.909758155,TRUE,,,
234,ATESEZ_stripped.cif,LOW,LOW,9.906911054,TRUE,,,
6,FIFNUE01_stripped.cif,LOW,HIGH,9.888951969,FALSE,,,
547,NIMWOX_stripped.cif,LOW,HIGH,9.881486121,FALSE,,,
211,QADWEA_stripped.cif,LOW,LOW,9.820575429,TRUE,,,
527,ABEXUC_stripped.cif,LOW,LOW,9.798348546,TRUE,,,
146,ZAVQOE_stripped.cif,LOW,HIGH,9.742895761,FALSE,,,
353,ZIKJOU_stripped.cif,LOW,LOW,9.732304264,TRUE,,,
81,XOZYER_stripped.cif,LOW,LOW,9.66700241,TRUE,,,
542,ZAVREV_stripped.cif,LOW,HIGH,9.454452451,FALSE,,,
437,SUKYON_stripped.cif,LOW,LOW,9.445238209,TRUE,,,
782,UKOHIN_stripped.cif,LOW,LOW,9.414117221,TRUE,,,
192,NAJTEA_stripped.cif,LOW,HIGH,9.399479999,FALSE,,,
765,ROQVIE_stripped.cif,LOW,LOW,9.38312584,TRUE,,,
510,ZAVQUK_stripped.cif,LOW,HIGH,9.341742375,FALSE,,,
619,ZAVRAR_stripped.cif,LOW,HIGH,9.29826253,FALSE,,,
230,GUYHUF_stripped.cif,LOW,LOW,9.207230852,TRUE,,,
205,LUFNAC05_stripped.cif,LOW,LOW,9.186270804,TRUE,,,
330,XEKMIL_stripped.cif,LOW,LOW,9.178822121,TRUE,,,
22,FULQUZ_stripped.cif,LOW,LOW,9.1554373,TRUE,,,
590,SOJSUH_stripped.cif,LOW,HIGH,9.138581119,FALSE,,,
375,KEQDER_stripped.cif,LOW,LOW,9.106299424,TRUE,,,
5,LUFNAC01_stripped.cif,LOW,LOW,9.10052578,TRUE,,,
404,ZEZQIG_stripped.cif,LOW,HIGH,9.016442472,FALSE,,,
762,APAZIC_stripped.cif,LOW,HIGH,9.013108573,FALSE,,,
579,AGAWOU_stripped.cif,LOW,LOW,9.007870285,TRUE,,,
60,JAPZAE_stripped.cif,LOW,HIGH,8.969119336,FALSE,601,/642,0.936137072
681,AYOXUJ_stripped.cif,LOW,LOW,8.866488209,TRUE,,,
489,PUDSOX_stripped.cif,LOW,HIGH,8.864610684,FALSE,,,
595,IMIXEI_stripped.cif,LOW,LOW,8.858026169,TRUE,,,
431,XUZPIT01_stripped.cif,LOW,LOW,8.855964592,TRUE,,,
605,ZAVPET_stripped.cif,LOW,HIGH,8.853383618,FALSE,,,
132,WONXED_stripped.cif,LOW,HIGH,8.845923706,FALSE,,,
109,DORNAB_stripped.cif,LOW,LOW,8.801852479,TRUE,,,
206,TISHAF_stripped.cif,LOW,LOW,8.778759768,TRUE,,,
678,WITLUI_stripped.cif,LOW,LOW,8.757267081,TRUE,,,
292,JAPZEI_stripped.cif,LOW,HIGH,8.743763352,FALSE,,,
265,HUFHIB_stripped.cif,LOW,LOW,8.66801371,TRUE,,,
632,YAQYEX_stripped.cif,LOW,LOW,8.656272997,TRUE,,,
185,QOHTUD_stripped.cif,LOW,LOW,8.636538427,TRUE,,,
133,TEJBUI_stripped.cif,LOW,LOW,8.594421113,TRUE,,,
488,DAXNOG01_stripped.cif,LOW,HIGH,8.580382908,FALSE,,,
501,WORLAS_stripped.cif,LOW,HIGH,8.578246619,FALSE,,,
196,IZIHAC_stripped.cif,LOW,LOW,8.543373424,TRUE,,,
202,JUZXEH_stripped.cif,LOW,HIGH,8.523697193,FALSE,,,
100,NOCLOH01_stripped.cif,LOW,LOW,8.520818326,TRUE,,,
555,HEWFAR_stripped.cif,LOW,LOW,8.512938129,TRUE,,,
606,FAQLER_stripped.cif,LOW,LOW,8.497687022,TRUE,,,
688,WORREC_stripped.cif,LOW,LOW,8.495227805,TRUE,,,
240,UCEXAC_stripped.cif,LOW,HIGH,8.480281118,FALSE,,,
574,NIMPEG01_stripped.cif,LOW,LOW,8.455582387,TRUE,,,
691,LUSYEF_stripped.cif,LOW,LOW,8.437679272,TRUE,,,
390,UVOTOQ_stripped.cif,LOW,HIGH,8.428068682,FALSE,,,
127,LASYOU_stripped.cif,LOW,LOW,8.38063346,TRUE,,,
549,XAXVEA_stripped.cif,LOW,HIGH,8.361044396,FALSE,,,
171,DAWCIP_stripped.cif,LOW,LOW,8.357724712,TRUE,,,
174,YURKEC_stripped.cif,LOW,HIGH,8.331799236,FALSE,,,
504,UCEXIK_stripped.cif,LOW,HIGH,8.327651543,FALSE,,,
380,ZOXGOK_stripped.cif,LOW,LOW,8.31358057,TRUE,,,
754,NIRGIG_stripped.cif,LOW,LOW,8.247595915,TRUE,,,
